dataset,agent,variant,seed,horizon,n_eval_episodes,n_eval_steps,A_Rwd,T_Rwd,Liking_pct,error
yelp,a2c,ug_mors,0,10,224,2240,9.517857142857142,2132.0,95.17857142857142,
yelp,a2c,ug_pbrs,0,10,224,2240,9.669642857142858,2166.0,96.69642857142857,
yelp,dqn,baseline_vote,0,10,224,2240,8.491071428571429,1902.0,84.91071428571428,
yelp,dqn,naive_continuous,0,10,224,2240,8.933035714285714,2001.0,89.33035714285714,
yelp,dqn,ug_mors,0,10,224,2240,9.1875,2058.0,91.875,
yelp,dqn,ug_pbrs,0,10,224,2240,9.111607142857142,2041.0,91.11607142857143,
yelp,ppo,baseline_vote,0,10,224,2240,8.794642857142858,1970.0,87.94642857142857,
yelp,ppo,naive_continuous,0,10,224,2240,9.446428571428571,2116.0,94.46428571428571,
yelp,ppo,ug_mors,0,10,224,2240,9.178571428571429,2056.0,91.78571428571428,
yelp,ppo,ug_pbrs,0,10,224,2240,8.799107142857142,1971.0,87.99107142857143,
yelp,trpo,baseline_vote,0,10,224,2240,8.558035714285714,1917.0,85.58035714285714,
yelp,trpo,naive_continuous,0,10,224,2240,9.174107142857142,2055.0,91.74107142857143,
yelp,trpo,ug_mors,0,10,224,2240,7.727678571428571,1731.0,77.27678571428571,
yelp,trpo,ug_pbrs,0,10,224,2240,8.004464285714286,1793.0,80.04464285714286,
